timestamp(ns),image_idx
1709593567834990433,1036
1709593567868738411,1037
1709593567901693197,1038
1709593567935718496,1039
1709593567968785739,1040
1709593568002265331,1041
1709593568035528479,1042
1709593568069049865,1043
1709593568102566971,1044
1709593568136467023,1045
1709593568169128084,1046
1709593568202621551,1047
1709593568235350640,1048
1709593568269432232,1049
1709593568302117101,1050
1709593568335988097,1051
1709593568368897238,1052
1709593568402388880,1053
1709593568435555290,1054
1709593568469051925,1055
1709593568502391731,1056
1709593568536331778,1057
1709593568569029332,1058
1709593568602534721,1059
1709593568635847684,1060
1709593568668892248,1061
1709593568702332779,1062
1709593568735360275,1063
1709593568769248720,1064
1709593568802321236,1065
1709593568835825515,1066
1709593568869332293,1067
1709593568902412260,1068
1709593568935627230,1069
1709593568968510035,1070
1709593569002378701,1071
1709593569035867347,1072
1709593569069076769,1073
1709593569102179400,1074
1709593569135393549,1075
1709593569168614858,1076
1709593569202262369,1077
1709593569235449816,1078
1709593569269093214,1079
1709593569302266413,1080
1709593569335694053,1081
1709593569368920231,1082
1709593569402358117,1083
1709593569435940138,1084
1709593569469299344,1085
1709593569502626071,1086
1709593569535541041,1087
1709593569569334896,1088
1709593569602477214,1089
1709593569635457514,1090
1709593569670033953,1091
1709593569702119174,1092
1709593569735624425,1093
1709593569769039880,1094
1709593569802179303,1095
1709593569835584724,1096
1709593569868805652,1097
1709593569902328873,1098
1709593569936296950,1099
1709593569969352921,1100
1709593570003438960,1101
1709593570036363668,1102
1709593570069359882,1103
1709593570102759657,1104
1709593570136124564,1105
1709593570169830507,1106
1709593570203128752,1107
1709593570236857185,1108
1709593570270392587,1109
1709593570303491687,1110
1709593570337457406,1111
1709593570368893070,1112
1709593570402543604,1113
1709593570435672008,1114
1709593570468780725,1115
1709593570502265525,1116
1709593570535902732,1117
1709593570569129182,1118
1709593570602647073,1119
1709593570635432078,1120
1709593570669611809,1121
1709593570702276542,1122
1709593570735529455,1123
1709593570768877216,1124
1709593570802156473,1125
1709593570835687551,1126
1709593570868995271,1127
1709593570902414000,1128
1709593570935623172,1129
1709593570969187069,1130
1709593571002500473,1131
1709593571035501477,1132
1709593571068739758,1133
1709593571102223437,1134
1709593571135648737,1135
1709593571169136249,1136
1709593571202471021,1137
1709593571235139634,1138
1709593571268888464,1139
1709593571302282739,1140
1709593571335292306,1141
1709593571368840902,1142
1709593571402346330,1143
1709593571435600451,1144
1709593571469392139,1145
1709593571502206112,1146
1709593571535652998,1147
1709593571569416483,1148
1709593571603335163,1149
1709593571635529432,1150
1709593571668969861,1151
1709593571702602909,1152
1709593571735847134,1153
1709593571769227878,1154
1709593571802410006,1155
1709593571835297345,1156
1709593571868771994,1157
1709593571901863653,1158
1709593571935337674,1159
1709593571969001641,1160
1709593572002346484,1161
1709593572035669223,1162
1709593572068680941,1163
1709593572102309144,1164
1709593572135553261,1165
1709593572168867154,1166
1709593572202635645,1167
1709593572235660469,1168
1709593572269505091,1169
1709593572304121594,1170
1709593572335606039,1171
1709593572369132839,1172
1709593572402421063,1173
1709593572435542046,1174
1709593572469019725,1175
1709593572502199566,1176
1709593572535627190,1177
1709593572569034040,1178
1709593572602203439,1179
1709593572635595380,1180
1709593572670014814,1181
1709593572702083418,1182
1709593572735663494,1183
1709593572768793977,1184
1709593572802230315,1185
1709593572835601121,1186
1709593572868748531,1187
1709593572902669555,1188
1709593572935896934,1189
1709593572969198347,1190
1709593573002273238,1191
1709593573036244912,1192
1709593573069074563,1193
1709593573102520542,1194
1709593573135867622,1195
1709593573168963107,1196
1709593573202488201,1197
1709593573235814746,1198
1709593573268948317,1199
1709593573302086821,1200
